competitor_id,competitor_name,month,estimated_visits,bounce_rate,pages_per_visit,avg_visit_duration_sec
notion_ai,Notion AI,2025-01-01,300000000,0.4249080237694725,6.352142919229749,355.6785460347372
notion_ai,Notion AI,2025-02-01,315000000,0.46973169683940735,3.9680559213273097,217.43868488068864
notion_ai,Notion AI,2025-03-01,330750000,0.36161672243363985,6.098528437324806,324.2676028183701
notion_ai,Notion AI,2025-04-01,347287500,0.4916145155592091,3.5617534828874073,412.7783645188787
notion_ai,Notion AI,2025-05-01,364651875,0.5164885281600844,4.137017332034828,223.63799212970414
notion_ai,Notion AI,2025-06-01,382884468,0.3866809019706868,4.412726728878614,305.94154359173706
notion_ai,Notion AI,2025-07-01,402028692,0.43638900372842315,4.373687420594126,326.84469473337106
notion_ai,Notion AI,2025-08-01,422130126,0.37789877213040834,4.376433945605655,267.926842390486
notion_ai,Notion AI,2025-09-01,443236633,0.4412139968434072,5.855527884179041,227.92170771800633
notion_ai,Notion AI,2025-10-01,465398464,0.4528468876827223,5.277243706586127,191.14809905279947
notion_ai,Notion AI,2025-11-01,488668388,0.4715089703802877,4.011572371061875,195.6123823164671
notion_ai,Notion AI,2025-12-01,513101807,0.5397771074506666,6.396896099223678,374.01536354795064
mem_ai,Mem.ai,2025-01-01,1000000,0.41092275383467414,3.7930163420191514,344.2159263629177
mem_ai,Mem.ai,2025-02-01,1150000,0.43803049874792027,3.8661147045343363,298.84245842670487
mem_ai,Mem.ai,2025-03-01,1322499,0.35687770422304366,6.227961206236346,242.10719558400405
mem_ai,Mem.ai,2025-04-01,1520874,0.4825044568707964,4.435133228268233,304.8163250826746
mem_ai,Mem.ai,2025-05-01,1749006,0.45934205586865595,4.0545633665765815,412.70031066349407
mem_ai,Mem.ai,2025-06-01,2011357,0.505026564672223,6.318496824692567,394.7585641026357
mem_ai,Mem.ai,2025-07-01,2313060,0.46957999576221704,6.265622705069351,201.2382004924607
mem_ai,Mem.ai,2025-08-01,2660019,0.38919657248382905,3.6356818667316144,258.07927938318346
mem_ai,Mem.ai,2025-09-01,3059022,0.4277354579378964,4.314047095321688,378.89700219646306
mem_ai,Mem.ai,2025-10-01,3517876,0.42135066533871784,4.3428035290621425,310.2470599579797
mem_ai,Mem.ai,2025-11-01,4045557,0.37818484499495253,5.906590942262119,197.892154483145
mem_ai,Mem.ai,2025-12-01,4652391,0.5473773873201035,5.8167343078899725,227.6917635682014
reflect,Reflect,2025-01-01,500000,0.3511044234247205,5.946384285364502,349.6457625234281
reflect,Reflect,2025-02-01,540000,0.4958014336081975,5.813811040057837,197.7707164161817
reflect,Reflect,2025-03-01,583200,0.4216931457088545,3.847607178575389,387.1448222101425
reflect,Reflect,2025-04-01,629856,0.4746596253655116,4.492694074557948,195.25400406864568
reflect,Reflect,2025-05-01,680244,0.41219646434313245,4.475549966080241,355.1054828011354
reflect,Reflect,2025-06-01,734664,0.47751149427104267,6.16163822772898,293.33158203886785
reflect,Reflect,2025-07-01,793437,0.37391884918766033,5.639734361668985,362.5884116680554
reflect,Reflect,2025-08-01,856912,0.46225543951389925,5.812901539863683,298.51094312745374
reflect,Reflect,2025-09-01,925465,0.45454656587639886,4.782623055075649,186.10059041858284
reflect,Reflect,2025-10-01,999502,0.3715782853986609,3.594287557060203,332.7384987033073
reflect,Reflect,2025-11-01,1079462,0.41287119621526536,5.025712073494108,397.8159537422623
reflect,Reflect,2025-12-01,1165819,0.399858445829775,4.731148769106889,361.3322732503317
obsidian,Obsidian,2025-01-01,10000000,0.3957596330983245,3.730939729486379,249.54034869930433
obsidian,Obsidian,2025-02-01,10800000,0.3822442574508009,6.289092957027719,373.94889109546006
obsidian,Obsidian,2025-03-01,11664000,0.4766807513020847,6.114381770563153,372.8812984557875
obsidian,Obsidian,2025-04-01,12597120,0.38731401177720715,6.177676995469933,309.4421380597562
obsidian,Obsidian,2025-05-01,13604889,0.5114880310328125,6.188273899770479,256.32083399324733
obsidian,Obsidian,2025-06-01,14693280,0.37201038490553534,4.1838054876258255,282.5058692703015
obsidian,Obsidian,2025-07-01,15868743,0.5136029531844987,6.082191749769031,181.66851132748576
obsidian,Obsidian,2025-08-01,17138242,0.4521494605155132,4.752233009446337,233.30587451297527
obsidian,Obsidian,2025-09-01,18509302,0.3739730734667365,4.512845514210884,406.2983289390046
obsidian,Obsidian,2025-10-01,19990046,0.414640586404151,5.056371865230098,348.7245501348427
obsidian,Obsidian,2025-11-01,21589249,0.4227259204758588,6.415346248162882,410.98735078610673
obsidian,Obsidian,2025-12-01,23316389,0.40035645916507284,4.991745517677156,252.21079435602473
roam,Roam Research,2025-01-01,2000000,0.4069680988754935,3.6106608420635986,326.29544015517524
roam,Roam Research,2025-02-01,2160000,0.4505358046457723,3.654436253749968,246.87515141678676
roam,Roam Research,2025-03-01,2332800,0.5316531771933308,4.218685672000917,214.77476930189354
roam,Roam Research,2025-04-01,2519424,0.44789055205551265,6.456951362331802,238.0932651627601
roam,Roam Research,2025-05-01,2720977,0.48442710948117573,5.784858845986153,237.03301055817593
roam,Roam Research,2025-06-01,2938656,0.49564326972237194,4.60334939815776,331.75339934245903
roam,Roam Research,2025-07-01,3173748,0.476705942152179,5.107324052224275,201.669544813058
roam,Roam Research,2025-08-01,3427648,0.5170604991178476,4.462340194915208,224.764442495965
roam,Roam Research,2025-09-01,3701860,0.35815502831095275,5.272678829564725,342.6154468421478
roam,Roam Research,2025-10-01,3998009,0.3533175657855712,5.036279174897842,234.3589860475051
roam,Roam Research,2025-11-01,4317849,0.47903455808189,4.023099287014975,345.8250571445918
roam,Roam Research,2025-12-01,4663277,0.42734706926010746,6.310189966210204,213.00502659503837
napkin_ai,Napkin.ai,2025-01-01,300000,0.4182132702100517,3.840420563721767,401.92646838685505
